#x y z mass
#[Mpc/h] [Mpc/h] [Mpc/h] [Msun/h]
16.3698 57.8871 38.9047 0.6118E+14
48.5400 48.9859 37.5176 0.6117E+14
158.1491 8.6625 101.0854 0.6099E+14
34.0497 72.6353 46.9538 0.6093E+14
76.1084 47.2420 65.5107 0.6084E+14
60.5300 115.2524 75.6452 0.6082E+14
158.0282 167.4624 114.5689 0.6069E+14
188.7441 27.8193 21.7473 0.6068E+14
118.2805 144.8224 193.3068 0.6067E+14
47.6842 83.2013 50.9315 0.6049E+14
62.5250 46.7430 14.6580 0.6043E+14
76.3975 53.6262 179.7010 0.6040E+14
62.6605 149.1158 73.2173 0.6038E+14
172.4850 123.3714 173.3740 0.6032E+14
70.4166 23.6108 54.7571 0.6024E+14
50.7729 52.9404 46.1588 0.6010E+14
178.0464 113.0024 188.7920 0.6007E+14
143.1010 122.4845 33.7612 0.5991E+14
106.3528 11.8309 122.5734 0.5976E+14
183.2300 69.1534 29.3974 0.5961E+14
186.3259 187.4446 89.0153 0.5960E+14
97.0307 192.9788 189.4271 0.5943E+14
66.6608 194.3841 48.2562 0.5922E+14
119.3173 92.1489 112.7604 0.5920E+14
16.0366 84.0019 141.4421 0.5909E+14
87.6475 20.0882 124.8646 0.5904E+14
38.6091 126.4008 113.2043 0.5883E+14
51.3188 159.0329 171.4191 0.5877E+14
182.0851 142.7607 117.6350 0.5863E+14
14.0790 119.7501 35.7094 0.5859E+14
144.5624 8.6998 198.2405 0.5849E+14
54.2003 128.7284 161.6889 0.5844E+14
85.2321 27.6168 74.0205 0.5837E+14
161.2521 51.1129 111.2848 0.5833E+14
116.5490 33.9956 88.8588 0.5828E+14
6.9248 34.4755 199.1580 0.5826E+14
152.1154 117.6527 116.4860 0.5823E+14
5.1197 140.8132 135.1118 0.5820E+14
8.7824 147.8953 135.7792 0.5817E+14
162.8447 15.4701 188.7139 0.5804E+14
129.8173 51.6599 147.4460 0.5804E+14
60.1575 147.5534 73.0447 0.5795E+14
50.6254 133.3735 157.3446 0.5789E+14
22.7343 150.1584 147.6006 0.5772E+14
94.7968 28.6297 98.7776 0.5771E+14
189.7285 121.9816 195.8324 0.5767E+14
110.1614 171.1518 7.1484 0.5763E+14
117.4153 193.5822 131.7692 0.5753E+14
39.3096 156.0586 5.2871 0.5750E+14
30.3518 143.8722 127.2167 0.5749E+14
12.2731 197.2037 60.8740 0.5741E+14
14.3610 194.2106 42.4491 0.5730E+14
84.1240 13.0738 176.5645 0.5720E+14
168.6247 180.0270 93.3410 0.5714E+14
22.7356 64.9409 177.7898 0.5707E+14
103.7898 193.6264 175.4102 0.5700E+14
164.1380 82.3330 179.6315 0.5698E+14
132.5061 106.7962 6.1775 0.5691E+14
74.0239 97.0368 197.1596 0.5686E+14
69.3307 73.7391 194.2246 0.5669E+14
191.6744 7.5291 40.0737 0.5668E+14
67.5353 155.1056 21.6875 0.5662E+14
191.6931 123.7058 187.9072 0.5660E+14
48.3071 133.3982 156.9229 0.5656E+14
134.5156 91.6334 109.4449 0.5656E+14
103.7201 156.5632 17.0622 0.5650E+14
161.2273 3.6923 126.5782 0.5646E+14
31.6857 188.7174 170.1815 0.5641E+14
48.1291 135.6792 102.3609 0.5637E+14
75.9959 93.0776 196.2830 0.5628E+14
125.4939 46.3192 121.4481 0.5627E+14
175.6933 35.7636 174.6087 0.5623E+14
83.7478 56.3040 70.7571 0.5614E+14
188.4909 120.2462 159.7991 0.5604E+14
60.4612 183.8165 17.4813 0.5589E+14
72.9339 45.9945 190.7864 0.5587E+14
152.4534 126.7834 165.3091 0.5578E+14
171.6120 77.6702 102.7651 0.5574E+14
171.6404 135.6165 2.3736 0.5570E+14
100.5046 30.6339 111.1001 0.5565E+14
134.5389 163.1438 163.2349 0.5545E+14
7.2619 127.1734 63.9628 0.5541E+14
186.1586 191.3156 52.0593 0.5540E+14
165.6424 18.4750 185.1238 0.5511E+14
80.1146 30.4880 149.0474 0.5502E+14
193.4163 138.3389 23.6723 0.5495E+14
164.8483 162.8365 120.0894 0.5492E+14
96.0840 167.5282 172.0798 0.5487E+14
40.2803 25.2718 30.3631 0.5481E+14
176.3110 127.5223 7.0920 0.5481E+14
60.8770 165.9882 62.6775 0.5480E+14
118.2436 76.8978 115.0562 0.5456E+14
123.5844 23.4980 77.1223 0.5456E+14
11.0050 56.1214 43.1497 0.5444E+14
30.7500 104.9656 124.1008 0.5440E+14
